iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-geology,stratigraphic (geology),,"A borehole/well drilled variously to: provide geological information in areas of poor outcrop and inadequate drillhole coverage, such as assisting the determination of the lithological intervals and stratigraphy present at a location (e.g. GSQ stratigraphic drilling); permit the collection of pristine samples for biostratigraphic, geochemical, geochronological or other studies; investigate the presence of geological setting(s) favourable for mineralization; and/or evaluate emerging technologies. The concept is similar to 'stratigraphic/structural/research (mineral exploration)', but is distinct in not having a primary economic focus.",stratigraphic drilling,https://linked.data.gov.au/def/borehole-purpose-wa/geological-investigation,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/geological-investigation,geological investigation,,"Drilling for the primary purpose of understanding the geological characteristics of the site, such as stratigraphy, structure, and physical or chemical rock properties. These boreholes are generally drilled as part of scientific/technical investigations conducted by government or research organizations.",,,"https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-geology|https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-research-drilling-geology|https://linked.data.gov.au/def/borehole-purpose-wa/structural-drilling-geology",,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-research-drilling-geology,stratigraphic/research (geology),,A borehole drilled to determine the lithological and stratigraphic intervals present at a location and/or to evaluate emerging technologies. Typically to enhance geological understanding of an area and/or to investigate the presence of geological setting(s) favourable for mineralization. It is most commonly associated with government drilling programs.,,https://linked.data.gov.au/def/borehole-purpose-wa/geological-investigation,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-research-fluid-energy,stratigraphic/research (fluid energy),STR,"A well drilled primarily with the intention of gathering geological data or to evaluate new technologies. The information may include stratigraphy, temperature gradient, heat flow, reservoir presence and quality.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-structural-research-mineral-exploration,stratigraphic/structural/research (mineral exploration),,"A borehole drilled to determine the lithological intervals present at a location and their structural and/or stratigraphic relationships. Typically drilled to determine the presence, location and extension of a potential resource, and most commonly associated with early stages of the exploration process. It can be associated with trialling of new drilling or analytical technologies.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-minerals-and-basic-raw-materials,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/exploration-minerals-and-basic-raw-materials,exploration (minerals and basic raw materials),,Drilling to search for and delineate new sources of economic minerals or basic raw (i.e. construction) materials.,,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-minerals-and-basic-raw-materials,https://linked.data.gov.au/def/borehole-purpose-wa/stratigraphic-structural-research-mineral-exploration,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/structural-drilling-geology,structural (geology),,"A borehole/well drilled to investigate the attitude of strata and structural/tectonic relationships of rock units at a location. Typically to enhance geological understanding of an area and/or to investigate the presence of geological setting(s) favourable for mineralization. Most commonly associated with government drilling programs or early stages of exploration. The concept is similar to 'stratigraphic/structural/research (mineral exploration)', but is distinct in not having a primary economic focus.",,https://linked.data.gov.au/def/borehole-purpose-wa/geological-investigation,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/stygofauna-monitoring,stygofauna monitoring,,"A borehole/well drilled to identify the presence of stygofauna and facilitate the monitoring of its biodiversity and overall 'health' parameters. Stygofauna, also known as subterranean aquatic fauna, are aquatic fauna that inhabit the water filled pore spaces, voids, cracks and fissures of most rock types and groundwater systems such as aquifers or underground caves.",,https://linked.data.gov.au/def/borehole-purpose-wa/environmental,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/transient-storage-liquids,transient storage - liquids other than water,,"A borehole/well used for the injection or withdrawal of liquid or liquefied hydrocarbons into or out of an underground hydrocarbon storage facility, including salt caverns.",temporary storage,https://linked.data.gov.au/def/borehole-purpose-wa/storage,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/uncemented-backfill,uncemented backfill,,"A cased borehole drilled for uncemented geomaterial filling in an underground mine. Uncemented backfill drilling is a method used to backfill underground mine stopes and/or drives to facilitate removal of remnant ore material while retaining geotechnical stability. Uncemented backfills include hydraulic fills, sand fills, aggregate fills and rock fills.","aggregate filling|ballast fill filling|hydraulic filling|rock fill filling|sand fill filling",https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
